SOUNDS/de/SYSTEM;0000.wav;0
SOUNDS/de/SYSTEM;0001.wav;1
SOUNDS/de/SYSTEM;0002.wav;2
SOUNDS/de/SYSTEM;0003.wav;3
SOUNDS/de/SYSTEM;0004.wav;4
SOUNDS/de/SYSTEM;0005.wav;5
SOUNDS/de/SYSTEM;0006.wav;6
SOUNDS/de/SYSTEM;0007.wav;7
SOUNDS/de/SYSTEM;0008.wav;8
SOUNDS/de/SYSTEM;0009.wav;9
SOUNDS/de/SYSTEM;0010.wav;10
SOUNDS/de/SYSTEM;0011.wav;11
SOUNDS/de/SYSTEM;0012.wav;12
SOUNDS/de/SYSTEM;0013.wav;13
SOUNDS/de/SYSTEM;0014.wav;14
SOUNDS/de/SYSTEM;0015.wav;15
SOUNDS/de/SYSTEM;0016.wav;16
SOUNDS/de/SYSTEM;0017.wav;17
SOUNDS/de/SYSTEM;0018.wav;18
SOUNDS/de/SYSTEM;0019.wav;19
SOUNDS/de/SYSTEM;0020.wav;20
SOUNDS/de/SYSTEM;0021.wav;21
SOUNDS/de/SYSTEM;0022.wav;22
SOUNDS/de/SYSTEM;0023.wav;23
SOUNDS/de/SYSTEM;0024.wav;24
SOUNDS/de/SYSTEM;0025.wav;25
SOUNDS/de/SYSTEM;0026.wav;26
SOUNDS/de/SYSTEM;0027.wav;27
SOUNDS/de/SYSTEM;0028.wav;28
SOUNDS/de/SYSTEM;0029.wav;29
SOUNDS/de/SYSTEM;0030.wav;30
SOUNDS/de/SYSTEM;0031.wav;31
SOUNDS/de/SYSTEM;0032.wav;32
SOUNDS/de/SYSTEM;0033.wav;33
SOUNDS/de/SYSTEM;0034.wav;34
SOUNDS/de/SYSTEM;0035.wav;35
SOUNDS/de/SYSTEM;0036.wav;36
SOUNDS/de/SYSTEM;0037.wav;37
SOUNDS/de/SYSTEM;0038.wav;38
SOUNDS/de/SYSTEM;0039.wav;39
SOUNDS/de/SYSTEM;0040.wav;40
SOUNDS/de/SYSTEM;0041.wav;41
