Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,L1,L2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2017-03-06,20:38:24.520,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:24.740,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:24.940,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:25.140,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:25.340,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:25.540,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:25.740,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:25.940,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:26.140,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:26.340,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:26.540,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:57.610,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:57.820,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:58.020,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:58.220,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:58.420,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:58.620,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:58.820,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:59.020,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:59.220,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:59.420,61,0,352,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:59.660,81,0,547,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:38:59.860,542,0,391,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:00.060,552,0,378,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:00.260,102,0,926,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:00.470,153,0,991,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:00.670,81,0,1024,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:00.870,-102,0,1024,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:01.110,-102,0,1024,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:01.310,-102,0,1024,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:01.510,-102,0,1024,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:01.740,0,0,204,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:01.980,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:02.180,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:02.380,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:02.580,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:02.790,10,0,873,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:03.020,0,0,409,0,0,-1024,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:03.220,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:03.420,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:03.620,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:03.820,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:04.030,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:04.270,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:04.470,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:04.670,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:04.870,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:05.080,-102,0,1024,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:05.290,-204,0,1024,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:05.510,-194,0,1024,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:05.710,-194,0,1024,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:05.920,-143,0,-1024,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x000000000000400C,5.6
2017-03-06,20:39:06.120,-174,0,-91,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:06.320,-337,0,1024,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:06.520,-532,0,613,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:06.730,-1024,0,495,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:06.930,-204,0,1017,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:07.130,552,0,-678,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:07.330,10,0,1024,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:07.530,30,0,65,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:07.770,-1024,0,156,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:07.970,-1024,0,156,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:08.210,1024,0,378,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:08.410,1024,0,339,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:08.650,1024,0,391,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:08.890,1024,0,378,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:09.120,409,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:09.330,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:09.530,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:09.740,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:09.990,0,0,0,0,0,-1024,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:10.210,0,0,0,0,0,-1024,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:10.410,0,0,0,0,0,-1024,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:10.610,0,0,0,0,0,-1024,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:10.810,0,0,0,0,0,-1024,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:11.020,-122,0,1024,0,0,-1024,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:11.220,-122,0,1024,0,0,-1024,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:11.440,-153,0,1024,0,0,-1024,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:11.660,-1024,0,1024,0,0,-1024,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:11.860,-1024,0,495,0,0,-1024,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:12.080,-1024,0,495,0,0,-1024,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:12.280,1024,0,247,0,0,-1024,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:12.480,1024,0,-600,0,0,-1024,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0x0000000000004009,5.6
2017-03-06,20:39:12.710,-337,0,-1024,0,0,-1024,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0x000000000000400C,5.6
2017-03-06,20:39:12.940,-552,0,1024,0,0,-1024,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0x0000000000004009,5.6
